R,depth,width,seed,K,s2,rel
0.8,2,4,47,-2.0,1.5065359277077244,1.1110597568351763
0.8,2,4,47,-4.0,2.2044230860437226,1.254081842793045
0.8,2,4,47,-6.0,3.1496856357366823,1.4140854701033623
0.8,2,4,48,0.5,0.8977818842738932,0.9923211304592332
0.8,2,4,48,0.0,1.0,1.0
0.8,2,4,48,-0.5,1.1113232970947502,1.0688364717441219
0.8,2,4,48,-1.0,1.2323941181210039,1.168206695423234
0.8,2,4,48,-2.0,1.5065359277077244,1.4146350176200908
0.8,2,4,48,-4.0,2.2044230860437226,2.148516248922739
0.8,2,4,48,-6.0,3.1496856357366823,3.3306474652256797
0.8,2,4,49,0.5,0.8977818842738932,0.9794157853779872
0.8,2,4,49,0.0,1.0,1.0
0.8,2,4,49,-0.5,1.1113232970947502,1.0334508732872478
0.8,2,4,49,-1.0,1.2323941181210039,1.0770187963883129
0.8,2,4,49,-2.0,1.5065359277077244,1.1695834042800062
0.8,2,4,49,-4.0,2.2044230860437226,1.4554208085970881
0.8,2,4,49,-6.0,3.1496856357366823,1.8063809260103347
1.0,2,4,0,0.5,0.8440563052346255,0.9858448275430661
1.0,2,4,0,0.0,1.0,1.0
1.0,2,4,0,-0.5,1.1781835566085712,1.0758197196566863
1.0,2,4,0,-1.0,1.3810978455418155,1.1658104118275496
1.0,2,4,0,-2.0,1.8722418031399817,1.414789044837298
1.0,2,4,0,-4.0,3.2885291045020604,2.141274288294436
1.0,2,4,0,-6.0,5.5066774632090025,3.2580798325870366
1.0,2,4,1,0.5,0.8440563052346255,0.9925398462736068
1.0,2,4,1,0.0,1.0,1.0
1.0,2,4,1,-0.5,1.1781835566085712,1.0878800538909053
1.0,2,4,1,-1.0,1.3810978455418155,1.1809221421893648
1.0,2,4,1,-2.0,1.8722418031399817,1.41005148638484
1.0,2,4,1,-4.0,3.2885291045020604,1.9748893651310095
1.0,2,4,1,-6.0,5.5066774632090025,2.8403340590193396
1.0,2,4,2,0.5,0.8440563052346255,0.9734070081033118
1.0,2,4,2,0.0,1.0,1.0
1.0,2,4,2,-0.5,1.1781835566085712,1.2268535654867165
